epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,855.799,1.60101,5.63276,1.68859,0.78836,0.02509,0.02931,0.01786,1.51815,39.7278,1.5573,4.41431e-05,4.41431e-05,4.41431e-05
2,1516.77,1.52378,4.89907,1.63177,0.86494,0.07933,0.07296,0.04736,1.42064,37.3711,1.51449,8.76005e-05,8.76005e-05,8.76005e-05
3,2183.54,1.52328,4.31465,1.60437,0.66841,0.0841,0.09574,0.06349,1.48438,35.4809,1.51075,0.00013018,0.00013018,0.00013018
4,2907.08,1.5012,4.00124,1.61008,0.41207,0.17306,0.13458,0.0817,1.43498,33.0362,1.48467,0.00012905,0.00012905,0.00012905
5,3557.03,1.47335,3.71379,1.59669,0.49397,0.15494,0.13718,0.08199,1.43385,30.7476,1.53655,0.000127733,0.000127733,0.000127733
6,4209.23,1.42272,3.47508,1.55012,0.58959,0.15256,0.15556,0.09059,1.39482,29.0159,1.47363,0.000126416,0.000126416,0.000126416
7,4971.26,1.4114,3.24929,1.54179,0.46733,0.19921,0.19008,0.11546,1.36637,27.015,1.42185,0.0001251,0.0001251,0.0001251
8,5625.84,1.39841,3.1716,1.52961,0.56475,0.17665,0.19365,0.11169,1.40537,25.3861,1.45461,0.000123783,0.000123783,0.000123783
9,6287.05,1.36243,2.97397,1.50159,0.44943,0.19996,0.20883,0.13173,1.33485,23.073,1.39219,0.000122466,0.000122466,0.000122466
10,7149.5,1.34016,2.89116,1.48184,0.40167,0.24516,0.23747,0.14769,1.29304,21.2262,1.36445,0.00012115,0.00012115,0.00012115
11,7957.75,1.33214,2.79609,1.4692,0.41532,0.24455,0.24489,0.15211,1.30725,19.8112,1.39239,0.000119833,0.000119833,0.000119833
12,8675.16,1.31099,2.64105,1.45755,0.44377,0.2308,0.26066,0.15877,1.26002,19.1896,1.37126,0.000118516,0.000118516,0.000118516
13,9519.62,1.31099,2.61339,1.45691,0.41567,0.24582,0.2712,0.17195,1.30092,17.1373,1.38644,0.0001172,0.0001172,0.0001172
14,10321.9,1.28293,2.51515,1.42859,0.42197,0.27719,0.29741,0.19202,1.30654,17.0077,1.37574,0.000115883,0.000115883,0.000115883
15,11007.6,1.28263,2.48253,1.43663,0.48792,0.24382,0.30341,0.19561,1.27228,15.4505,1.34171,0.000114566,0.000114566,0.000114566
16,11838.7,1.2589,2.41194,1.40467,0.45262,0.29174,0.32059,0.21097,1.231,14.9944,1.31347,0.00011325,0.00011325,0.00011325
17,12621.2,1.26118,2.33429,1.40496,0.37983,0.35274,0.31863,0.20994,1.22643,14.5872,1.30685,0.000111933,0.000111933,0.000111933
18,13357.3,1.25341,2.31745,1.41946,0.51665,0.29085,0.32174,0.20569,1.23567,13.4832,1.31153,0.000110616,0.000110616,0.000110616
19,14191.7,1.23538,2.24376,1.39792,0.50614,0.25366,0.31932,0.202,1.26778,13.3593,1.33567,0.000109299,0.000109299,0.000109299
20,14963.2,1.2455,2.24433,1.41469,0.50442,0.27477,0.33573,0.22193,1.24384,12.4871,1.32713,0.000107983,0.000107983,0.000107983
21,15795.1,1.2344,2.19259,1.40511,0.53516,0.28867,0.34098,0.22833,1.18095,11.3564,1.27043,0.000106666,0.000106666,0.000106666
22,16625.7,1.21974,2.1546,1.38462,0.49617,0.26855,0.32134,0.21198,1.21533,10.8749,1.29223,0.000105349,0.000105349,0.000105349
23,17452.1,1.20637,2.06737,1.37606,0.5008,0.27557,0.33254,0.2236,1.20414,10.6522,1.30053,0.000104033,0.000104033,0.000104033
24,18272.8,1.19665,2.07335,1.36219,0.37061,0.40422,0.37646,0.26301,1.21152,10.7994,1.28641,0.000102716,0.000102716,0.000102716
25,19444.6,1.1678,1.97549,1.34482,0.47849,0.36188,0.36035,0.23769,1.22598,9.6628,1.30245,0.000101399,0.000101399,0.000101399
26,21556.3,1.15962,1.96526,1.34126,0.34754,0.3913,0.34926,0.21704,1.1808,9.59975,1.30592,0.000100083,0.000100083,0.000100083
27,22365.7,1.17877,1.94948,1.35382,0.3771,0.40972,0.3634,0.25544,1.21441,9.80897,1.29682,9.87658e-05,9.87658e-05,9.87658e-05
28,23180.8,1.18184,1.94509,1.34817,0.41696,0.38889,0.36373,0.24768,1.22704,8.76921,1.30319,9.74491e-05,9.74491e-05,9.74491e-05
29,23992.3,1.15395,1.90085,1.33579,0.55757,0.31248,0.365,0.22831,1.22417,8.62713,1.31331,9.61324e-05,9.61324e-05,9.61324e-05
30,24816,1.15595,1.86481,1.32851,0.38998,0.41068,0.36829,0.24825,1.20308,8.87484,1.32252,9.48157e-05,9.48157e-05,9.48157e-05
31,25644.2,1.15769,1.87276,1.34113,0.48336,0.32981,0.35914,0.24771,1.21887,8.43977,1.30026,9.3499e-05,9.3499e-05,9.3499e-05
32,28535.5,1.1396,1.80875,1.31229,0.61831,0.30875,0.37848,0.24392,1.17642,8.33409,1.27166,9.21823e-05,9.21823e-05,9.21823e-05
33,29352.1,1.14358,1.77918,1.32181,0.49953,0.31891,0.36626,0.24639,1.20484,7.76778,1.29912,9.08656e-05,9.08656e-05,9.08656e-05
34,30163.7,1.1293,1.75116,1.30985,0.48122,0.39708,0.41307,0.27246,1.20817,7.77788,1.30782,8.95489e-05,8.95489e-05,8.95489e-05
35,30972.9,1.10727,1.74157,1.30069,0.55637,0.33296,0.38416,0.25056,1.24668,7.51071,1.322,8.82322e-05,8.82322e-05,8.82322e-05
36,31788,1.13482,1.7324,1.30866,0.47334,0.40164,0.38777,0.25777,1.20098,7.33608,1.29112,8.69155e-05,8.69155e-05,8.69155e-05
37,32599.2,1.09604,1.6884,1.29393,0.5118,0.36561,0.39009,0.27314,1.17419,7.35332,1.26176,8.55988e-05,8.55988e-05,8.55988e-05
38,36663.9,1.10491,1.67634,1.29978,0.53768,0.33576,0.39999,0.27027,1.19585,7.15935,1.28158,8.42821e-05,8.42821e-05,8.42821e-05
39,37469,1.09717,1.65254,1.29743,0.54455,0.35594,0.38476,0.26513,1.20977,6.45342,1.29277,8.29654e-05,8.29654e-05,8.29654e-05
40,38277.2,1.08424,1.63901,1.28307,0.56765,0.32194,0.38968,0.25746,1.21737,6.26739,1.30458,8.16487e-05,8.16487e-05,8.16487e-05
41,39088,1.12048,1.68167,1.30379,0.54298,0.35874,0.3869,0.25946,1.18313,6.39682,1.27105,8.0332e-05,8.0332e-05,8.0332e-05
42,39903,1.10311,1.62324,1.28209,0.60182,0.37095,0.43137,0.28803,1.1823,6.60848,1.27539,7.90153e-05,7.90153e-05,7.90153e-05
43,42213.3,1.07985,1.61659,1.28932,0.6308,0.30782,0.38062,0.26596,1.15196,6.06012,1.24337,7.76986e-05,7.76986e-05,7.76986e-05
44,43027.8,1.08493,1.58943,1.28011,0.59535,0.37909,0.43468,0.29325,1.16561,6.03835,1.26786,7.63819e-05,7.63819e-05,7.63819e-05
45,43844.4,1.06949,1.58327,1.27475,0.62548,0.34074,0.40729,0.28131,1.17591,5.90691,1.27281,7.50652e-05,7.50652e-05,7.50652e-05
46,44651.9,1.05492,1.51774,1.26095,0.67561,0.33361,0.42616,0.30425,1.17551,5.72562,1.25551,7.37485e-05,7.37485e-05,7.37485e-05
47,45457.9,1.07157,1.5257,1.25684,0.50765,0.38764,0.42523,0.29077,1.16179,5.54054,1.2568,7.24318e-05,7.24318e-05,7.24318e-05
